GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Dctn1_sp|O08788|DCTN1_MOUSE,Dctn1,-0.501425655926963,2.53674428703613,O08788
Nqo1_sp|Q64669|NQO1_MOUSE,Nqo1,-0.506269101008835,2.15763019229516,Q64669
Ccpg1_sp|Q640L3|CCPG1_MOUSE,Ccpg1,-0.511075971389168,1.54344396795826,Q640L3
Ppp1r12a_sp|Q9DBR7|MYPT1_MOUSE,Ppp1r12a,-0.51248078624608,1.91105735236199,Q9DBR7
H2-D1_sp|P14427|HA14_MOUSE,H2-D1,-0.515597347765388,2.93261993272594,P14427
3425401B19Rik_tr|D3Z1D3|D3Z1D3_MOUSE,3425401B19Rik,-0.519859871517866,1.63861053830731,D3Z1D3
H2-D1_sp|P01895|HA1Y_MOUSE,H2-D1,-0.53274278526976,1.30383407633871,P01895
Idh2_sp|P54071|IDHP_MOUSE,Idh2,-0.539648708661071,1.49277901945497,P54071
H2-K1_sp|P01901|HA1B_MOUSE,H2-K1,-0.543598654319017,1.33229663066081,P01901
Abca7_sp|Q91V24|ABCA7_MOUSE,Abca7,-0.54529899044837,1.98383307942053,Q91V24
Bfar_sp|Q8R079|BFAR_MOUSE,Bfar,-0.5521869412195199,1.56995958328898,Q8R079
Gvin1_sp|Q80SU7|GVIN1_MOUSE,Gvin1,-0.554614660213686,2.62821461978715,Q80SU7
Arhgdib_sp|Q61599|GDIR2_MOUSE,Arhgdib,-0.560267782256371,2.48716890777901,Q61599
Tmpo_sp|Q61033|LAP2A_MOUSE,Tmpo,-0.561335830273921,1.41260472776087,Q61033
Zfp207_tr|M0QWF0|M0QWF0_MOUSE,Zfp207,-0.565767050212696,2.59892080080817,M0QWF0
Dctn2_sp|Q99KJ8|DCTN2_MOUSE,Dctn2,-0.566686167212284,1.71587032125785,Q99KJ8
Dnhd1_tr|D3Z2X2|D3Z2X2_MOUSE,Dnhd1,-0.578046242775027,1.52359939163742,D3Z2X2
Bfar_sp|Q8R079|BFAR_MOUSE,Bfar,-0.578665813653144,1.64037314046336,Q8R079
Top1mt_sp|Q8R4U6|TOP1M_MOUSE,Top1mt,-0.582575604840734,1.72147844478639,Q8R4U6
